tweet,airlines,airlines_predicted
"JetBlue Airways Clients got ZERO, in 32 years career never thought this was possible.2 suitcases worth thousands of $$ in Italian clothing robbed.",['JetBlue Airways'],['JetBlue Airways']
SouthwestAir my first flight ever and flight #4251 is already having technical issues. Faaaannntastic.😭,['Southwest Airlines'],['Southwest Airlines']
United Air but we are on All Nippon now (booked by United to replace the one we missed).,['United Airlines'],"['All Nippon Airways', 'United Airlines']"
VirginAmerica had to change to another airline to get to DC today ... Why is United able to land in DC but not you? Cost me $800 ...ugh,"['United Airlines', 'Virgin America']","['United Airlines', 'Virgin America']"
"@united, no. Re-booked with American and United said they'd transfer our bags to them.",['United Airlines'],"['American Airlines', 'United Airlines']"
AmericanAir Please REPLY!  How do you mess up my rebook TWICE???,['American Airlines'],['American Airlines']
@united how come the crew traveling on the flight gets a better seat and I get stuck checking my bag and the crews bag got on the flight.,['United Airlines'],['United Airlines']
JetBlue Airways I appreciate the quick response but how can no one go outside to check temp so we can leave in BUF #currentlysittingontarmac,['JetBlue Airways'],['JetBlue Airways']
United I'm not know if the seats are actually narrower than other seats but they feel like it. Or maybe I'm extra bloated.,['United Airlines'],['United Airlines']
United Air my PQMs and PQDs are no longer showing up correctly in my MileagePlus acct. How can I get this fixed?,['United Airlines'],['United Airlines']
VirginAmerica I am in seat 4C and I cannot even open my laptop; and I paid extra for this seat!!,['Virgin America'],['Virgin America']
US Airways yet again your staff in Philadelphia  failed to send my luggage home with me. #alwayshappensthere #angrytraveler,['US Airways'],['US Airways']
United Airlines Ugh.  My bags were sent to Palm Springs and not to LAX as promised.  They better be at the hotel when I get there.,['United Airlines'],['United Airlines']
@USAirways @hhagerty that's a lie.,['US Airways'],['US Airways']
JetBlue Airways just wondering if the website is having issues today. Trying to book a flight with my visa I always use and its rejecting it.,['JetBlue Airways'],['JetBlue Airways']
@JetBlue what's up with the broken tv in seat 6F on flight 1818 today? Planned to catch the @cavs game!!! Nooooo,['JetBlue Airways'],['JetBlue']
AmericanAir an hour at baggage carousel and still no luggage?? Nail in the coffin.,['American Airlines'],['American Airlines']
United I can't find any Late Flight evening flights. Are there other airports that would have an overnight flight?,['United Airlines'],['United Airlines']
Virgin America why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,['Virgin America'],['Virgin America']
@united nope. Really. No window at all for 10A. 10F has one. 8 and 11 has one. None for 10A. So sad...,['United Airlines'],['United Airlines']
"American Airlines I paid using Paypal online and after I was charged there was a ""System Error"" which is what I ended up calling about.",['American Airlines'],['American Airlines']
JetBlue Airways Why was flight 669 forced to return to NY when there was a malfunction? Why not land in the countless air strips surrounding Chi?,['JetBlue Airways'],['JetBlue Airways']
United Airlines wonderful bag claim people - finally have my bag. But why did I catch earlier flight? Original flight just landed. #wastedtime,['United Airlines'],['United Airlines']
"@AmericanAir I didn't want to Cancelled Flight, I wanted to take someone off and keep my price. Held at 402, at 10am today 440, now 530",['American Airlines'],['American Airlines']
"@united but if i tweet the ID number, won't that reveal my home address to anyone on the web?",['United Airlines'],['United Airlines']
@united Filled out at the airport as part of a long day made longer.,['United Airlines'],['United Airlines']
US Air Flight gets in 30 minutes early and all goodwill gone when bags aren't here 45 minutes Late Flightr,['US Airways'],['US Airways']
"Wanted to get my bag benefit, but instead get $25 pricing on all three tickets. When adding a card, MP Visa is only option. United Air",['United Airlines'],['United Airlines']
Southwest Air  this is really unhelpful. Why can't I rebook online? http://t.co/N5O43sVl8i,['Southwest Airlines'],['Southwest Airlines']
"American Airlines lost my cats, missed their flights, kept them crated 30 hrs for a  would-be 5 hr trip. You'll never touch my pets again.",['American Airlines'],['American Airlines']
JetBlue #poorservice #poorcommunication #waitingsince 10:51 for bags frm flight 424!!! #jetblue,['JetBlue Airways'],['JetBlue']
US Air cardholder is flying.  We both have us airways and advantage cards which is more frustrating.,['US Airways'],"['US Airways', 'American Airlines']"
@USAirways you guys Cancelled Flightled two of my flights yesterday and I checked the bag to Huntsville and it went missing in Philly.,['US Airways'],['US Airways']
United I'd rather spend two days in the back seat of a Volkswagen than two hours on your plane! #disgruntled #whatacluster,['United Airlines'],['United Airlines']
@SouthwestAir been on hold to rebook a flight to CMH for 1.5 hrs. Your rebook website is crashed.,['Southwest Airlines'],['Southwest Airlines']
"SouthwestAir used to exclusively fly SW, but Late Flightly, direct flights &amp; cheaper costs have me switched. 😔 why...so... few...direct...flights?",['Southwest Airlines'],['Southwest Airlines']
@SouthwestAir sure did. Also read on there that Southwest doesn't believe it is liable for the incident. How is it my fault that SW lost it?,['Southwest Airlines'],['Southwest Airlines']
US Air cannot add my frequent flyer number on your website.  Can you help?,['US Airways'],['US Airways']
"US Air Forget reservations. Thank you to the great leadership at your company, I've Cancelled Flighted my flight. Once again, thank you.",['US Airways'],['US Airways']
"@united UA1130 Flight was a nightmare!! From poor customer service,having my confirmed seat given away.... +more issues",['United Airlines'],['United Airlines']
"@united I log in, view reservations, try view specific reservation &amp; takes me back to login page,",['United Airlines'],['United Airlines']
American Airlines they were no where to be found at Midnight Last Night! I would think the agent in LAX could have relayed that info.Bag on flt,['American Airlines'],['American Airlines']
Virgin America soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),['Virgin America'],['Virgin America']
"American Air confused at the definition of a ""preferred seat."" I paid extra for one and got a regular seat with no legroom. Unimpressed.",['American Airlines'],['American Airlines']
United Air Trying to change a flight booked just 6 hours ago but online system is charging me $200 fee per passenger... could you please help?,['United Airlines'],['United Airlines']
American Air @emeyerson @ggreenwald Don't wait on a bag. Go to Walmart and get what you need for tomorrow morning.,['American Airlines'],['American Airlines']
US Airways you call this a window seat? #airbus321seat14Fproblems http://t.co/ZKOE6clGiU,['US Airways'],['US Airways']
"United Airlines 2 hour flight from FLL to Ewr, 1242, now waiting 1 hour plus for bags, no sign yet. What gives????",['United Airlines'],['United Airlines']
"@united if the car seat is lost @united should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child",['United Airlines'],['United Airlines']
SouthwestAir I can't begin to tell you how slow my plane's wifi is. I can't even pull up an email.  What am i paying $8 for??,['Southwest Airlines'],['Southwest Airlines']
US Air There isn't a ticket number...the transaction is still pending.,['US Airways'],['US Airways']
United was trying to change a flight online but got an error can you help via DM?,['United Airlines'],['United Airlines']
"AmericanAir the original receipt lists my flight cost as $89ish, and doesn't reflect the use of a voucher",['American Airlines'],['American Airlines']
United the new seats on the Canadaair regional jets just plain suck.,['United Airlines'],['United Airlines']
USAirways @ClaudOakeshott how about a link that works pls Nothing but complete frustration w usair last 12 hrs,['US Airways'],['US Airways']
"SouthwestAir it's not disappointment, it's a blatant disregard for your business select customers, it's becoming a problem that's pushing",['Southwest Airlines'],['Southwest Airlines']
United your airline has been telling me that my luggage is one hour away from my destination for 5 days!,['United Airlines'],['United Airlines']
AmericanAir is it right to provide faulty seats on flights plus damage a $350 bag and not replace and shrug the damage off? Flights from...,['American Airlines'],['American Airlines']
@AmericanAir it's not a friend it's a legally required chaperone on a school trip.,['American Airlines'],['American Airlines']
"Southwest Airlines VERY frustrated. Saw seats avail. online for pref alt. flight, unable to book online, lost those seats during &gt;2 hr phone hold",['Southwest Airlines'],['Southwest Airlines']
JetBlue just please get my luggage from #2070 onto carousel 5 / Logan Airport and I'll be able to go home!,['JetBlue Airways'],['JetBlue']
@united Item (not mine) mysteriously ended up in my checked bag after a #EWR to #YOW flight.  Missing a black box? http://t.co/SJQEmDtQmA,['United Airlines'],['United Airlines']
"@AmericanAir No. Had to Cancelled Flight my trip. Instead of a $25 future trip voucher, a $25 drink coupon would've been better! #WakingInMemphis",['American Airlines'],['American Airlines']
"United Not sure what happened @ MSP yesterday, but VERY UNHAPPY my bag was not only delayed, but sat at MSP for 8 hrs b4 delivery @ 2:30 am",['United Airlines'],['United Airlines']
USAirways your lack of customer service has shined. I need you to step up and get my lost baggage to delta. So they can return it to me.,['US Airways'],"['US Airways', 'Delta']"
"USAirways it MIGHT have went through. No confirmation. ""Please wait"" then same form.",['US Airways'],['US Airways']
@united Booked a flight home over 7 months ago and requested seats together for my fiancée and I. We got 2 middle seats. UNACCEPTABLE. The,['United Airlines'],['United Airlines']
United Air hello I am flying first class and am behind 20 people on zone 1!!!!!  Pls pass on to app dept - you should board 1st class first,['United Airlines'],['United Airlines']
"USAirways I can't even use my return flight home because the change fees you charge are too expensive, forcing me to purchase a new ticket.",['US Airways'],['US Airways']
"United Airlines 1st u delay my flight for mechanical failure,then 2 hrs on the runway, &amp; 13 hrs Late Flightr I'm still here with a lost bag &amp; no resolution",['United Airlines'],['United Airlines']
@VirginAmerica Just DM'd. Same issue persisting.,['Virgin America'],['Virgin America']
USAirways flight 645 to Phoenix deboards passengers going to Salt Lake City because they can't resolve a simple bathroom issue. #fail,['US Airways'],['US Airways']
@united I don't need to make any changes. I reserved my seats when I bought my tickets and there was an error &amp; now there are no comp seats,['United Airlines'],['United Airlines']
SouthwestAir and now no wifi??? Come on.,['Southwest Airlines'],['Southwest Airlines']
AmericanAir please fix your mobile and desktop site to allow Canadians to select a passenger when checking in. Thanks.,['American Airlines'],['American Airlines']
US Air I tried reaching out to you guys I'm running out time and patience I just want my flight to be honor and I want a confirmation!,['US Airways'],['US Airways']
United Air how do you lose a gate checked bag DEN to ORD? Direct flight. Ugh.,['United Airlines'],['United Airlines']
"American Air yes it is in Dulles and I need it delivered to the Embassy Suites in Herndon, VA. I'm still in Chicago from the fiasco in LAX",['American Airlines'],"['LAX', 'American Airlines']"
".JetBlue Navigating through 2 rebooks due to flu &amp; ice to visit my Mother.  Your CS reps have been so very helpful, patient and friendly.",['JetBlue Airways'],['JetBlue']
"@SouthwestAir Redeem-points packages magically gone by time we finally got through @ 10:01, felt like #baitandswitch",['Southwest Airlines'],['Southwest Airlines']
"USAirways usually ""sorry"" doesn't involve moving people to middle seats and removing them from upgrade lists. Guess that's a club perk.",['US Airways'],['US Airways']
United Air - Thanks. Formed submitted. I'm not betting someone would be honest enough to turn it in though...,['United Airlines'],['United Airlines']
"United tag numbers 0016 964012, 0016 964077, 0016 964078 - let's find these bags.",['United Airlines'],['United Airlines']
@USAirways if you DM me we can take this offline. Would love more info on location of lost bags. Any help is appreciated.,['US Airways'],['US Airways']
American Airlines WHERE IS MY BAG?!?!?!,['American Airlines'],['American Airlines']
"USAirways tell them to get on that, please.",['US Airways'],['US Airways']
"US Airways : Was on flight 2046 BOS-CLT on 2/22, awful experience, exit row seat was so narrow that I could not move my legs! Unacceptable.",['US Airways'],['US Airways']
@SouthwestAir LOST Kay Chapman Designs art-luggage for important show. Won't help locate it. Terrible customer service.,['Southwest Airlines'],['Southwest Airlines']
@USAirways Another dead end.  They only handle AA L&amp;F.  They gave me the same failed # I already had. 610-362-7498(99) VM full.  #lost,['US Airways'],"['US Airways', 'American Airlines']"
JetBlue Airways ive tried on my phone and laptop :(,['JetBlue Airways'],['JetBlue Airways']
United Air you are easily the worst company I have ever experienced. You have lost someone's personal possessions &amp; you couldn't care less!....,['United Airlines'],['United Airlines']
"JetBlue Airways well, we're on our way now, but more than half my tv channels are just static. 😔",['JetBlue Airways'],['JetBlue Airways']
"United Air Your baggage tracking system is worthless! It tells me nothing about where the bag is, much less what your plans are to get it to me",['United Airlines'],['United Airlines']
Southwest Airlines My husband a first time flyer with you has had the worst experience on board a aircraft just a few minutes ago.,['Southwest Airlines'],['Southwest Airlines']
"United agent Rick Clifton in SEA-HOU , told him my father is dying and needed to get my handbag on the cabin. he did nothing #shameful",['United Airlines'],['United Airlines']
JetBlue Airways I'm on flt 700 lax to FLL both ppl are sleeping so Id rather not disturb in flight. Tried to dl movie no go http://t.co/Nh2i9ZlzMk,['JetBlue Airways'],['JetBlue Airways']
"American Airlines Where are your tickets offices in Boston? Impossible to book by phone or use vouchers on website, what a headache. PLEASE HELP!",['American Airlines'],['American Airlines']
United Air updated A320 aircraft has wifi and device entertainment but no outlets. I don't get it. How can I charge devices?,['United Airlines'],['United Airlines']
"United Air working with Lisa J at ORD. she's working hard for us, but this is still VERY disappointing. was on 634 to EWR.",['United Airlines'],['United Airlines']
"JetBlue Airways @amybruni No wifi on this flight so we can't tweet you our Oscar party pics at 37,000ft. #bluecarpet :-( SEA✈️BOS",['JetBlue Airways'],['JetBlue Airways']
USAirways  you took the miles out of my account and told me that I could restore by paying $150 or opening a credit card,['US Airways'],['US Airways']
United Air I would appreciate a response regarding the pressurization failure on flight 1109. You seem to be responding to less serious issues,['United Airlines'],['United Airlines']
US Air Thx for responding :) When bags came there was mad rush towards end of jetway—why not just put thru baggage claim?,['US Airways'],['US Airways']
@JetBlue everyone is here but our pilots are no where to be found and my last flight the plane was dirty that I had to clean my area &amp; seat!,['JetBlue Airways'],['JetBlue']
"United Air Well, to the degree that he could... Just to know, after this experience I'm Cancelled Flighting my miles card. Thank god for Delta Airlines","['United Airlines', 'Delta Air Lines']","['United Airlines', 'Delta Airlines']"
United Airlines just DM'd,['United Airlines'],['United Airlines']
"United Air I have tried and you have failed. Still no wifi ever, last row in the middle and I fly every week. Thanks for nothing.",['United Airlines'],['United Airlines']
United - terrible experience on UA415 on 17th. 1st exit row in economy has zero legroom. Have same row booked for return but can't change.,['United Airlines'],['United Airlines']
US Air pretty upset I drove from Philly to MHtT still no info on my bags. What's the deal!,['US Airways'],['US Airways']
US Airways on hold for 2+ hours.. Can I book using a Take Flight voucher online??,['US Airways'],['US Airways']
"@AmericanAir you think I haven't tried that multiple times?? The ""status"" of my bag is that it should've been here YESTERDAY. So disgusted.",['American Airlines'],['American Airlines']
@JetBlue I'd fly to an airline who actually gave a crap about its fliers outside of generic apologies. Jet Blue is terrible #jetblue,['JetBlue Airways'],['JetBlue']
United Air The flight turned around for mechanical reasons on 1/30/15.  Never to fly United again as they don't check their planes properly.,['United Airlines'],['United Airlines']
VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,['Virgin America'],['Virgin America']
US Air You landed me at #BWI instead of @Reagan_Airport  and have no plans for me to make it home to DC. How do you suggest I get home?,['US Airways'],['US Airways']
@JetBlue service for baggage at JFK is incomprehensible. No employee knows where our luggage is frM flight 424 LAX to NYC ITS AN HR WAIT NOW,['JetBlue Airways'],['JetBlue']
SouthwestAir we have to stay in Chicago overnight and meet up with our bags there. I hope they stay put and don't get put on a flight.,['Southwest Airlines'],['Southwest Airlines']
@united are the miles going to be restructured? Help a silver status brotha out! I thought I was winning with you guys until today lol,['United Airlines'],['United Airlines']
AmericanAir my understanding is they were able and did for many other flights but chose not to for this one.,['American Airlines'],['American Airlines']
@SouthwestAir belt issues. Been a rough day for them. Worst part is traveling with 9 month old and having to wait outside in 85 degree,['Southwest Airlines'],['Southwest Airlines']
"United Air booked flight in sept to get best price for April to usa, checked now and they are €67 cheaper, what a con unhappy customer #ripoff",['United Airlines'],['United Airlines']
US Air I hope so. Last I spoke to the baggage team... they weren't sure what city my bag was in.,['US Airways'],['US Airways']
@USAirways if ur going 2 charge $20 for wi-fi make sure it works. #Brutal #DialUp b a 100 by the time things load. #TheEnd #GoodDay,['US Airways'],['US Airways']
@united Yes. Did file a claim as soon as the carousel stopped without my bag on it. Got an email that its found but not sched for delivery,['United Airlines'],['United Airlines']
@AmericanAir it was my friend. She shouldn't have been scheduled so close together at LAX then not reimbursed. It's costing her 12 hrs &amp;$250,['American Airlines'],['American Airlines']
@USAirways great job today In ruining 45 people's vacation. Thanks to your incompetent pilot and staff we have all now missed our flights,['US Airways'],['US Airways']
United Can you increase the legroom? : How airlines compare http://t.co/diUfep8n2q via @CNNMoney,['United Airlines'],['United Airlines']
@united I usually like flying with you guys but $200 fee to use my credit seems ridiculous #notcool #exhorbitantfees,['United Airlines'],['United Airlines']
United Airlines you can read the full story when I submit a case to your team about the pilot of flight 6232 and why we are sleeping in DIA,['United Airlines'],['United Airlines']
United Air Flight 683 last night was #bad4business. Will be a long time before I recommend United to anyone.,['United Airlines'],['United Airlines']
American Air what are the odds my bag was picked up by someone not me while in another country? Because it says it hasn't been located yet.,['American Airlines'],['American Airlines']
"United I am a frequent user. Congrats u only lost my bags once in 20 years. Problem, it was today and your staff were rude!😢 still no bag!",['United Airlines'],['United Airlines']
"US Air to CLT from JFK nasty planes, dirty seats &amp; floors, rude flight attendants- hopefully AA can get you cleaned up #disgusting #vile",['US Airways'],"['US Airways', 'American Airlines']"
@AmericanAir Can you add my KTN to an existing reservation? It's not letting me add it online....,['American Airlines'],['American Airlines']
"AmericanAir I was on flt 2222 tomorrow, they moved me to 750. I need it moved to Tuesday. the roads won't be better for flight 750. thanks",['American Airlines'],['American Airlines']
Jet Blue Walked down the hall to Carousel 8...found all bags sitting there. Still no words from crew...signage still not updated,['JetBlue Airways'],['JetBlue']
"American Air that's why I'm asking for exception. Staffer moving last minute,we're a nonprofit &amp; losing $400,we just want to change ticket.",['American Airlines'],['American Airlines']
@SouthwestAir Did yall get rid of the Austin to Cabo flights all together? There's zero non-stop in Aug and Sept,['Southwest Airlines'],['Southwest Airlines']
American Air rebooked into a different airport. Throwing a wrench into plans 👀,['American Airlines'],['American Airlines']
Southwest Air lost bag on flight to Vegas. Now to El Paso. Going to Dallas love. Gate attendant said see if can coordinate to get it to Love,['Southwest Airlines'],['Southwest Airlines']
